,screen_name,created_at,full_text
32,everson_mayen,2019-05-26 18:20:46,"Hay diferentes tipos de amor  #GOTFinale #GOT #GameofThrones #ForTheThrone #GameofThronesSeason8 #DaenerysTargaryen
#GoTWinterisComingGame #GoTDirecto #GOT8x06 #GOTfinal #GameOfThronesFinale #GOTSeasonFinale #JuegoDeTronos #JuegodeTronosfinal #juegodetronos8x06 #gotfinale https://t.co/HSKKaSJK1H"
33,everson_mayen,2019-05-26 18:20:11,"Dany  #GOTFinale #GOT #GameofThrones #ForTheThrone #GameofThronesSeason8 #DaenerysTargaryen
#GoTWinterisComingGame #GoTDirecto #GOT8x06 #GOTfinal #GameOfThronesFinale #GOTSeasonFinale #JuegoDeTronos #JuegodeTronosfinal #juegodetronos8x06 #gotfinale daenerys https://t.co/kiqJprKXhE"
34,JoseAnt36968292,2019-05-26 18:16:46,"RT @Jesusbt1: Aviso, es un spoiler #GOTFinale #elcuervode3Ojos #reidelos6Reinos https://t.co/iqSo4xg4oX"
35,DChampsGC,2019-05-26 18:07:56,"Aaron Rodgers is 100% correct.
#GameOfThrones #GOTFinale

https://t.co/0L3SpowVAK"
36,PROFAMS,2019-05-26 18:03:25,"RT @folha: 'Game of Thrones': 11 milh es de pessoas devem faltar no trabalho ap s fim da s rie, aponta pesquisa #folha #GOTFinale

https:// "
37,eldebatedehoy,2019-05-26 18:01:02,"""Solo aquellos que devoren las cerca de ocho mil p ginas que podr  acabar teniendo la saga de Canci n de Hielo y Fuego"". 
#GoTWinterisComingGame #GameOfThrones #GOTFinale #series #JuegoDeTronos 
https://t.co/sPDjF80zKN"
38,ankesh_14,2019-05-26 17:58:07,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago   
#GameofThrones #GameOfThronesFinale "
39,LeMagducine,2019-05-26 17:56:43,"L'hiver est venu mais il n'a pas fait aussi froid que pr vu. Cette ultime saison de #GameofThrones aura fait beaucoup de d  us. Personnages inconsistants, arcs exp di s.. Les reproches ont  t  nombreux. Analyse. #GOTFinale https://t.co/49rZiTvEjw"
40,Funhousefilms,2019-05-26 17:54:21,"#GameofThrones: The Musical - I Saw A Dragon! *watch with sound*

*Click here for the full video* https://t.co/aN8AsDdVJu

#GOT #GameofThronesFinale #GOTFinale #Tyrion #funny #lol #comedy #Funnymusic #musical #lolz #funnyvideos https://t.co/B0JN1YaH5m"
41,insecure_al,2019-05-26 17:50:34,"This is the first Sunday with no #GoT

It felt like such a long time ago.  

#GameofThrones #Daenerys #JonSnow #GoTFinale #HBO

https://t.co/3dk6umhOGb"
42,KajahSnr,2019-05-26 17:49:09,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago   
#GameofThrones #GameOfThronesFinale "
43,fraserjames06,2019-05-26 17:48:06,"RT @NorbertElekes: Final episode viewership

Breaking Bad:        10.3 million viewers
The Sopranos:       11.9 million
Big Bang Theory:  1 "
44,LisbethLyons9,2019-05-26 17:41:06,"RT @RobertoRamosC: This is tremendously accurate.
#GOTmeme #GOTFinale #GOTSeasonFinale https://t.co/0wCMlv0OYX"
