,screen_name,created_at,full_text
35,CinematicallyC,2019-05-26 19:50:43,"RT @gotstratosphere: What happens when the Ghosts play #dungeonsanddragons   

#GameOfThronesFinale it is not!

Subscribe on https://t.co/o "
36,grmickael,2019-05-26 19:50:23,#HappyMothersDay #GameOfThronesFinale https://t.co/ns7EFqNaci
37,alitapaz,2019-05-26 19:49:48,"RT @Marcefortunatok: NUEVA ENCUESTA:
Si las elecciones presidenciales de La Argentina fueran el domingo que viene...
 a qui n votar as?
#El "
38,Shumstaehjjk,2019-05-26 19:49:14,"""Died protecting his Queen."" 
#GOT #GameOfThrones #GameOfThronesFinale"
39,LaraHilen,2019-05-26 19:49:14,RT @zomelier: Jajaja #TheBigBangTheoryFinale #GameOfThronesFinale https://t.co/Ju2PsnzD2E
40,Shumstaehjjk,2019-05-26 19:47:51,"Brienne writing Jaime's story :((
#GOT #GameOfThrones #GameOfThronesFinale"
41,priscillovisk,2019-05-26 19:47:41,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
42,Bruberes,2019-05-26 19:47:16,"RT @mahamarant: S o s  lembran as :/ 
#gameofthrones
#GameOfThronesFinale https://t.co/GwGfWkg0IT"
43,amagomu,2019-05-26 19:47:12,"RT @AmazonMusicMX: Contesta este quiz para saber qu  personaje de #GoT ser as y si te hubieras quedado con el Trono. Adem s, podr s saber q "
44,FatemehJavadi3,2019-05-26 19:46:59,"                                                                                          -_-
#GameOfThronesFinale"
45,Borgie520,2019-05-26 19:46:20,"RT @Rockies: Ready for the #GameOfThronesFinale, thanks to this epic rendition of the theme song   https://t.co/JqbefQVmkB"
46,FotoKarolReus,2019-05-26 19:45:52,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
47,aleru,2019-05-26 19:45:41,"RT @FoldableHuman: Say what you will about the #GameOfThronesFinale, the John Hughes homage was a bold choice to end on. https://t.co/kKJrJ "
48,Shumstaehjjk,2019-05-26 19:45:21,"I am bawling my eyes out the Starks just got reunited and now they already have to say goodbye again. You can see how much they love each other. 
#GOT #GameOfThrones #GameOfThronesFinale"
49,PamelaPinna1,2019-05-26 19:45:20,"RT @bringbacksardon: L'unica persona che vorremmo vedere sul trono questa notte. Il finale di stagione perfetto.

#Got #GameOfThrones #Game "
