index,screen_name,created_at,text
2752,taralipinski,2018-01-30 20:57:44,Johnny Weir and Tara Lipinski start trip to South Korea with amazing rendition of 'Firework'  via @forthewin
2753,taralipinski,2018-01-31 03:24:39,Way back Wednesday when I skated to the  Speed  soundtrack. Still kinda feelin  that song.  
2754,taralipinski,2018-01-31 12:32:35,We packed super light.  @TaraandJohnny @NBCOlympics 
2755,taralipinski,2018-02-01 23:33:58,RT @TeamUSA: @TaraLipinski won gold at age 15. What have you done today? Gold Medal Moment presented by @HERSHEYS! 
2756,taralipinski,2018-02-02 03:15:49,Pick up the latest People magazine! Thank you @people for this awesome spread- how fun!   
2757,taralipinski,2018-02-02 05:21:08,@Tyler_J_Ward @TeamUSA @Hersheys This made me laugh
2758,taralipinski,2018-02-02 09:48:43,"RT @Olympics: RT this for good luck! #PyeongChang2018 "
2759,taralipinski,2018-02-03 23:01:36,We loved hosting our first special! Tune in for  The Best of U.S  Monday at 10pm ET. You ll get  
2760,taralipinski,2018-02-04 02:41:45,Rehearsals from when we did Lip Sync Battle! It airs next week. Too much fun   What song do you  
2761,taralipinski,2018-02-04 11:03:20,RT @TaraandJohnny: I    @ludacris #WinterOlympicsDanceParty 
2762,taralipinski,2018-02-05 01:42:32,"As we watch the #sb52 from Korea, I can t help but remember our fun times at our last @Nbc  "
2763,taralipinski,2018-02-05 02:57:42,"RT @lsb: THIS WEEK'S #LIPSYNCBATTLE: @TaraLipinski          vs.@JohnnyGWeir "
2764,taralipinski,2018-02-05 03:50:40,Now that the #SuperBowl is over....You know what time it is!  WINTER OLYMPICS time. Bring on the  
2765,taralipinski,2018-02-05 23:24:03,One thing everyone should be for at least one day in their lives is Gwen Stefani @gwenstefani     
2766,taralipinski,2018-02-05 23:44:33,RT @lsb: .@TaraLipinski takes on her BFF @JohnnyGWeir on this week's #LipSyncBattle - and s*** gets bananas (B-A-N-A-N-A-S). @GwenStefani h 
2767,taralipinski,2018-02-05 23:49:27,@TheMissJessicaK I ll let you know if slot opens up!
2768,taralipinski,2018-02-06 07:07:50,Family portrait. My broadcast booth partners! We look photoshopped in for the first  
2769,taralipinski,2018-02-06 23:31:10,Let s get this day started from South Korea! I love this pic of J and I. Its us in a nutshell.  
2770,taralipinski,2018-02-07 01:15:51,RT @jonnymoseley: Remember that one time back in 1998? Great to see you @taralipinski @ PyeongChang 
2771,taralipinski,2018-02-07 05:07:09,RT @NBCSportsPR: Transcript for our call today with @MillerBode @taralipinski @JohnnyGWeir and executive producer Jim Bell @jfb  
2772,taralipinski,2018-02-07 07:12:58,RT @TaraandJohnny: We  Curling   @taralipinski @johnnygweir @nbcolympics #winterolympics @ Gangneung 
2773,taralipinski,2018-02-07 12:38:57,A little dress rehearsal.  Final touches to our booth to be for the next 2 1/2 weeks as we  
2774,taralipinski,2018-02-07 14:28:45,
2775,taralipinski,2018-02-08 00:54:12,Holla   My obsession with @gwenstefani is real. #gwenstefani 
2776,taralipinski,2018-02-08 02:22:16,RT @harrytv: THURSDAY 2/8: #TheAlienist's @TheRealLukevans and Olympic champ @taralipinski! PLUS: Harry pays tribute to gospel great #Edwin 
2777,taralipinski,2018-02-08 06:25:53,"RT @JohnnyGWeir: Our coverage of the figure skating team event  starts Thursday night, LIVE ACROSS ALL TIMEZONES 8pmE, 7pmC, 6pmM, 5pmP on "
2778,taralipinski,2018-02-08 06:26:05,"RT @RetroNewsNow: TV Guide Cover 20 Years Ago This Week, February 7-13, 1998: @taralipinski "
2779,taralipinski,2018-02-08 06:26:43,@ChateauHemmer Still wearing rings on almost every  finger to this day.
2780,taralipinski,2018-02-08 12:59:34,We are just hours away and I can t wait to experience another Olympics! This time from a  
2781,taralipinski,2018-02-09 00:38:16,This post is for anyone who feels like the path to their goals is neither easy nor straight.  
2782,taralipinski,2018-02-09 06:34:01,RT @lsb: Don't come at @TaraLipinski with your nonsense. #LipSyncBattle 
2783,taralipinski,2018-02-09 06:34:07,RT @lsb: WEST COAST: get pumped because it's almost time for @TaraLipinski and @JohnnyGWeir's #LipSyncBattle on @ParamountNet. Who ya got? 
2784,taralipinski,2018-02-09 06:34:38,RT @lsb: .@TaraLipinski nailing the choreo because THAT'S WHAT GOLD MEDALISTS DO. #LipSyncBattle 
2785,taralipinski,2018-02-09 09:35:51,These are the outtakes of a special little project we are working on. Please take note of  
2786,taralipinski,2018-02-09 11:14:59,@miketirico is gonna kill it! I m so honored and lucky to have the chance to work with him at his first Olympics. S  
2787,taralipinski,2018-02-09 12:06:20,RT @JohnnyGWeir: Crying with @taralipinski watching USA come through at the Opening Ceremony.    #winterolympics
2788,taralipinski,2018-02-09 12:06:45,RT @Lesdoggg: Bedazzled headsets!! Dope!! 
2789,taralipinski,2018-02-09 15:57:36,The many faces of our first day! So lucky to be sitting next to these two as we start this  
2790,taralipinski,2018-02-10 02:18:07,#Pyeongchang2018  via @POPSUGARFitness
2791,taralipinski,2018-02-11 01:30:44,@GarrickDConner @NBCOlympics I hope you are enjoying the dance event! It s a good one. But @JohnnyGWeir and I are n  
2792,taralipinski,2018-02-11 02:23:19,We are about to get this ladies team event started! See you guys in a few..... @nbcolympics  
2793,taralipinski,2018-02-12 02:17:28,Bringing out the sparkle today! All thanks to dressthepopulation #winterolympics @ Gangneung 
2794,taralipinski,2018-02-12 03:46:16,RT @TaraandJohnny: Practice makes perfect. @MacyGraysLife @taralipinski @johnnygweir #winterolympics @ Gangneung 
2795,taralipinski,2018-02-12 03:46:42,Yes!!! 
2796,taralipinski,2018-02-12 03:57:07,Those Twizzles!!!!!             @MaiaShibutani @AlexShibutani @ShibSibs @NBCOlympics #winterolympics
