,screen_name,created_at,text
37,CNN,Sat Apr 20 23:11:02 +0000 2019,The 56-year-old Australian who was wrongfully jailed for more than a decade was killed while crossing an intersecti… https://t.co/IEx4AuhoZr
38,CNN,Sat Apr 20 22:55:06 +0000 2019,Will Smith joins Jaden Smith on stage at Coachella https://t.co/0mASDY33ic https://t.co/dzethc91sE
39,CNN,Sat Apr 20 22:44:01 +0000 2019,A white driver faces hate crime charges after he allegedly tried to hit an interracial couple with his truck… https://t.co/8SHqvofhcm
40,CNN,Sat Apr 20 22:33:02 +0000 2019,"5-year-old boy thrown off Mall of America balcony showing ""real signs of recovery"" https://t.co/VBe47oW4oS https://t.co/SEkaYflObQ"
41,CNN,Sat Apr 20 22:22:05 +0000 2019,"Singer Adele has parted ways with her husband, Simon Konecki, according to a statement from her representative, Ben… https://t.co/EFldhx2WjA"
42,CNN,Sat Apr 20 22:11:04 +0000 2019,The Turpin children had a police dog when facing their parents in court. He's comforted them for months… https://t.co/n2BSrA8WUw
43,CNN,Sat Apr 20 22:02:07 +0000 2019,An American bitcoin trader and his girlfriend could face the death penalty after they were accused of threatening T… https://t.co/pFho0QjG4K
44,CNN,Sat Apr 20 21:55:04 +0000 2019,CIA spy Virginia Hall is about to become everyone's next favorite historical hero https://t.co/JwRrEpaE7Q https://t.co/Kq46VoSntN
45,CNN,Sat Apr 20 21:44:06 +0000 2019,"Seagram's liquor heiress pleads guilty to crimes related to New York sex cult, pyramid scheme case… https://t.co/7b9LJYQyn5"
46,CNN,Sat Apr 20 21:22:07 +0000 2019,2 Virginia police officers fired for alleged ties to white supremacist groups https://t.co/S6tvCaECmI
47,CNN,Sat Apr 20 21:15:00 +0000 2019,"""I don't want to be put in a box,"" Kim Kardashian West tells @VanJones68 about her decision to pursue becoming a la… https://t.co/XJAFgs2dUI"
48,CNN,Sat Apr 20 21:11:04 +0000 2019,Police hope this mystery letter can solve the murder of a teen 45 years ago in Texas https://t.co/dCWO3le3RE
49,CNN,Sat Apr 20 21:04:03 +0000 2019,Possibly the most effective thing we can do to fight climate change?  Plant 1 trillion trees:… https://t.co/6lKDHDPO4s
50,CNN,Sat Apr 20 20:54:05 +0000 2019,Rep. Alexandria Ocasio-Cortez says she would support impeachment proceedings against President Trump after reading… https://t.co/rTNqBgVvh3
51,CNN,Sat Apr 20 20:44:07 +0000 2019,"The US slid to 48th in the global rankings, dropping below Botswana, Chile and Romania and entering the category of… https://t.co/aILnrjI0RX"
52,CNN,Sat Apr 20 20:33:02 +0000 2019,"Columbine and Parkland.

Two high school massacres, two communities changed forever.

Two fateful days, two decades… https://t.co/JCFva5oiD9"
53,CNN,Sat Apr 20 20:20:06 +0000 2019,"It's time you learned how 4/20 became ""Weed Day"" https://t.co/Ztiy8cDjOk https://t.co/6MidgYESkU"
54,CNN,Sat Apr 20 20:15:00 +0000 2019,"“The people sitting behind bars do not care who the president is. They just want that relief,” Kim Kardashian West… https://t.co/qXKTypgCkz"
55,CNN,Sat Apr 20 19:50:03 +0000 2019,"Democratic, Republican and Independent voters sound off on the Mueller report, whether its release will matter in 2… https://t.co/2xNfi4t97w"
56,CNN,Sat Apr 20 19:33:07 +0000 2019,Those close to him say President Trump is newly furious at the people — most of whom no longer work for him — whose… https://t.co/0qrWTv9pE6
57,CNN,Sat Apr 20 19:22:05 +0000 2019,Northern Ireland police have arrested two teenagers in connection with the murder of 29-year-old investigative jour… https://t.co/HsTIGl3KsY
58,CNN,Sat Apr 20 19:11:03 +0000 2019,"A church is apologizing for an ""inappropriate"" Easter lesson in which a pastor urged students to spit on him, slap… https://t.co/dme0YySbbL"
59,CNN,Sat Apr 20 19:00:08 +0000 2019,"The amount of plastic in the ocean is a lot worse than we thought, according to a study https://t.co/qGLxYxDzPq https://t.co/jdSq9GjW23"
60,CNN,Sat Apr 20 18:55:06 +0000 2019,A white driver faces hate crime charges after he allegedly tried to hit an interracial couple with his truck… https://t.co/Tvp6AzGVQZ
61,CNN,Sat Apr 20 18:44:05 +0000 2019,"A tiger attacked a zookeeper at the zoo in Topeka, Kansas https://t.co/a8VzNBX9Vv https://t.co/fsoh83TX0j"
62,CNN,Sat Apr 20 18:33:04 +0000 2019,"5-year-old boy thrown off Mall of America balcony showing ""real signs of recovery"" https://t.co/Z0kkp1kXDa https://t.co/o7MzDkTe2e"
63,CNN,Sat Apr 20 18:22:02 +0000 2019,"Flint residents can sue the federal government over the city's water crisis, a federal judge  rules… https://t.co/YKRURd6qqx"
64,CNN,Sat Apr 20 18:11:02 +0000 2019,"Singer Adele has parted ways with her husband, Simon Konecki, according to a statement from her representative, Ben… https://t.co/ZIGhpmT8lA"
65,CNN,Sat Apr 20 18:01:06 +0000 2019,"The annual Lyrid meteor shower will peak on Tuesday morning, but keep your eyes on the sky over the weekend as well… https://t.co/TrILPlLrIh"
66,CNN,Sat Apr 20 17:59:23 +0000 2019,"Today marks 20 years since the Columbine shooting.

“It breaks my heart,"" Samantha Haviland, a Columbine survivor a… https://t.co/Ailhv3FAPF"
67,CNN,Sat Apr 20 17:55:02 +0000 2019,"Marijuana possession, production and distribution will make immigrants ineligible for US citizenship -- even in sta… https://t.co/FfvboXFVGX"
68,CNN,Sat Apr 20 17:44:03 +0000 2019,Storms will drench the Northeast before the weather finally warms up https://t.co/xEoTTGFoby https://t.co/xLglCQSjB3
69,CNN,Sat Apr 20 17:33:01 +0000 2019,They glued themselves to trains. They blocked major landmarks. They pretended to be dead outside city hall https://t.co/uddEIf6FqC
70,CNN,Sat Apr 20 17:22:07 +0000 2019,"California officials say the famous quirky Lombard Street is too crowded with tourists, and they may enact a toll t… https://t.co/YPoZLYKCBW"
71,CNN,Sat Apr 20 17:11:06 +0000 2019,"African swine fever is plaguing China's pork production. The disease is killing multitudes of animals, hitting the… https://t.co/LmknWas2xc"
72,CNN,Sat Apr 20 17:00:15 +0000 2019,Old tradition + new technology = lives saved. @DrSanjayGupta meets the doctors behind this remarkable innovation on… https://t.co/wkS8dEQPXM
73,CNN,Sat Apr 20 16:55:05 +0000 2019,"Investigators have pinpointed that the start of the Notre Dame Cathedral fire was at the center of the roof, toward… https://t.co/ftLLGbjzd8"
74,CNN,Sat Apr 20 16:44:04 +0000 2019,The Turpin children had a police dog when facing their parents in court. He's comforted them for months… https://t.co/vdpka6TVQm
75,CNN,Sat Apr 20 16:33:08 +0000 2019,An American bitcoin trader and his girlfriend could face the death penalty after they were accused of threatening T… https://t.co/SIj2gzOks5
76,CNN,Sat Apr 20 16:22:06 +0000 2019,CIA spy Virginia Hall is about to become everyone's next favorite historical hero https://t.co/I098qUGNbf https://t.co/oL7Dryi0rW
77,CNN,Sat Apr 20 16:11:06 +0000 2019,There's 1 thing the Mueller report proved beyond any debate: The President lies with remarkable ease and cajoles th… https://t.co/H0CUXhPw9T
78,CNN,Sat Apr 20 16:01:09 +0000 2019,"Seagram's liquor heiress pleads guilty to crimes related to New York sex cult, pyramid scheme case… https://t.co/znPVHPpyTR"
79,CNN,Sat Apr 20 15:55:03 +0000 2019,"A militia group near the US-Mexico border detained hundreds of people this week, New Mexico's attorney general said… https://t.co/FYa5XWwJiJ"
80,CNN,Sat Apr 20 15:44:04 +0000 2019,Those close to him say President Trump is newly furious at the people — most of whom no longer work for him — whose… https://t.co/DyBLrjRjic
81,CNN,Sat Apr 20 15:33:03 +0000 2019,2 Virginia police officers fired for alleged ties to white supremacist groups https://t.co/8R16ivhsCH
82,CNN,Sat Apr 20 15:22:03 +0000 2019,Police hope this mystery letter can solve the murder of a teen 45 years ago in Texas https://t.co/sbEVTauzNI
83,CNN,Sat Apr 20 15:17:17 +0000 2019,"“My parents took my whole life from me, but now I’m taking my life back”: Children testify about years of torture a… https://t.co/HUWOfQ473E"
84,CNN,Sat Apr 20 15:11:05 +0000 2019,A peep into the history of Easter's marshmallow icon https://t.co/YEs9Gy2wqO https://t.co/jPFL7DFgfx
85,CNN,Sat Apr 20 15:09:12 +0000 2019,“This 23rd Saturday of protests here in Paris is turning into one of the more violent and well-attended that we’ve… https://t.co/EuAmJ96phl
86,CNN,Sat Apr 20 15:01:03 +0000 2019,"The amount of plastic in the ocean is a lot worse than we thought, according to a study https://t.co/SXTwtg3BOw https://t.co/iEY3AET49Z"
87,CNN,Sat Apr 20 14:53:08 +0000 2019,"Secretary of State Pompeo insists he's ""still in charge"" of North Korea negotiations https://t.co/FRNg4dnyPX https://t.co/9cd5S5IjxI"
88,CNN,Sat Apr 20 14:44:03 +0000 2019,"A militia group near the US-Mexico border detained hundreds of people this week, New Mexico's attorney general told… https://t.co/nXhv2MARyK"
89,CNN,Sat Apr 20 14:43:03 +0000 2019,"Riot police unleashed tear gas at the so-called ""yellow vest"" protesters in central Paris who marched Saturday for… https://t.co/3ZI1yo035A"
90,CNN,Sat Apr 20 14:32:02 +0000 2019,There were only 147 of the world's fattest parrots alive -- and then came the baby boom https://t.co/JJ0Z8hcUtG https://t.co/ba55Hd7DO4
91,CNN,Sat Apr 20 14:16:06 +0000 2019,Possibly the most effective thing we can do to fight climate change?  Plant 1 trillion trees:… https://t.co/yOPxEOS976
92,CNN,Sat Apr 20 14:01:39 +0000 2019,"New York Yankees and Philadelphia Flyers dump Kate Smith’s famous rendition of ""God Bless America"" during games ove… https://t.co/IMD6rCGDRX"
93,CNN,Sat Apr 20 14:01:09 +0000 2019,"How will today’s Democratic candidates appeal to young voters? Hear from Bernie Sanders, Kamala Harris, Elizabeth W… https://t.co/5TVz7GGEIA"
94,CNN,Sat Apr 20 13:47:21 +0000 2019,“Subpoenas are coming”: @RepMGS responds to President Trump’s “Game of Thrones”-style tweet after the Mueller repor… https://t.co/K5I5JxxyCB
95,CNN,Sat Apr 20 13:44:05 +0000 2019,Beto O'Rourke is defending details from his released tax returns that shows how little he and his wife gave to char… https://t.co/w575yAOQ8w
96,CNN,Sat Apr 20 13:36:38 +0000 2019,.@smerconish: “Was this investigation not worth it where 37 individuals and entities were indicted by Mueller for h… https://t.co/YUEhOj56IY
97,CNN,Sat Apr 20 13:29:06 +0000 2019,"Workers on an oil rig about 130 miles off the coast of Thailand found a dog paddling near the rig, cold and shiveri… https://t.co/jAtYKNw0Em"
98,CNN,Sat Apr 20 13:16:05 +0000 2019,"""Columbine offers hope,"" says former Columbine principal Frank DeAngelis. ""That's what I hope, 20 years later, that… https://t.co/5n3oDp4Bji"
99,CNN,Sat Apr 20 13:10:17 +0000 2019,"Commentary:

“Stunning as it sounds, there was never any chance that Mueller would find the President broke the law… https://t.co/dRlX56sbj0"
100,CNN,Sat Apr 20 13:00:07 +0000 2019,"Evangelical Christian and former member of Congress Michele Bachmann claims that ""we will in all likelihood never s… https://t.co/Ba5t0kH7rc"
101,CNN,Sat Apr 20 12:44:06 +0000 2019,"A church is apologizing for an ""inappropriate"" Easter lesson in which a pastor urged students to spit on him, slap… https://t.co/krYcHZa6TO"
102,CNN,Sat Apr 20 12:31:04 +0000 2019,FDA OKs first medical device to treat ADHD in children https://t.co/ftqjhRIbh1 https://t.co/O6zfNqZZvZ
103,CNN,Sat Apr 20 12:20:06 +0000 2019,"President Trump called some Russia scoops ""fake news,"" but the Mueller report shows they were very real… https://t.co/dDGWtWlBxs"
104,CNN,Sat Apr 20 12:17:10 +0000 2019,Northern Ireland police have arrested two teenagers in connection with the murder of 29-year-old investigative jour… https://t.co/gcbpaoyyRN
105,CNN,Sat Apr 20 12:00:06 +0000 2019,This Marine running in honor of his fallen comrades crawled to the finish line of the Boston Marathon… https://t.co/UdA7lG8jxu
106,CNN,Sat Apr 20 11:40:04 +0000 2019,"The US slid to 48th in the global rankings, dropping below Botswana, Chile and Romania and entering the category of… https://t.co/qPJ2apxIPb"
107,CNN,Sat Apr 20 11:20:04 +0000 2019,"Columbine and Parkland.

Two high school massacres, two communities changed forever.

Two fateful days, two decades… https://t.co/oCv2xzbGif"
108,CNN,Sat Apr 20 11:00:06 +0000 2019,"""I think we need to change the way we treat women in our culture... It's not optional.""

He is Liverpool's star man… https://t.co/AMXhgDdDX2"
109,CNN,Sat Apr 20 10:40:07 +0000 2019,Rep. Alexandria Ocasio-Cortez says she would support impeachment proceedings against President Trump after reading… https://t.co/yU5otsdFjR
110,CNN,Sat Apr 20 10:20:02 +0000 2019,The bees living on Notre Dame's roof survived the fire https://t.co/9pKAcioeTZ https://t.co/sghpWtTkRa
