,screen_name,created_at,text
31,b'FoxNews',b'Thu Nov 08 09:10:00 +0000 2018',b'Tesla names Robyn Denholm as Chairman to replace Elon Musk (via @FoxBusiness) https://t.co/SKjBXxUdOD'
32,b'FoxNews',b'Thu Nov 08 09:01:00 +0000 2018',b'@marcthiessen: \xe2\x80\x9cThe president today made very clear that he wants to cut deals with the Democrats. And quite frankl\xe2\x80\xa6 https://t.co/3eA2dn4vQh'
33,b'FoxNews',b'Thu Nov 08 09:00:00 +0000 2018',"b'.@TuckerCarlson: ""While everyone else obsessed over dossiers and FISA warrants, Sessions worried about the mission\xe2\x80\xa6 https://t.co/LSvnOqZMsq'"
34,b'FoxNews',b'Thu Nov 08 08:51:00 +0000 2018',"b""Wife's dying wish was for him to clean up bloody crime scene, suspect claims: reports https://t.co/7Wxd39jDEB"""
35,b'FoxNews',b'Thu Nov 08 08:41:00 +0000 2018',b'DEVELOPING: Massive police response after reports of shooting at California nightclub https://t.co/awRowfsPJ6'
36,b'FoxNews',b'Thu Nov 08 08:31:00 +0000 2018',"b'.@senatemajldr Mitch McConnell said Wednesday that Democrats and Republicans will have to address health care ""on a\xe2\x80\xa6 https://t.co/XxmktKMZ7F'"
37,b'FoxNews',b'Thu Nov 08 08:21:00 +0000 2018',"b'Joseph diGenova on who could replace AG Sessions: ""@ChrisChristie would have the full confidence of @POTUS, which i\xe2\x80\xa6 https://t.co/lt485btkXG'"
38,b'FoxNews',b'Thu Nov 08 08:06:00 +0000 2018',"b""Dem @GavinNewsom's wild victory party in LA features controversial rapper @common https://t.co/V9SSpxOUH7"""
39,b'FoxNews',b'Thu Nov 08 08:01:00 +0000 2018',"b'.@jasoninthehouse: \xe2\x80\x9cAttorney General @jeffsessions is a patriot. He was a good Republican, and I applaud him for hi\xe2\x80\xa6 https://t.co/MRia8l8dOM'"
40,b'FoxNews',b'Thu Nov 08 07:51:00 +0000 2018',"b'Devotees lit earthen lamps in Ayodhya, India as part of Diwali celebrations, also known as a festival of lights, on\xe2\x80\xa6 https://t.co/uWGZnrkvqD'"
41,b'FoxNews',b'Thu Nov 08 07:41:00 +0000 2018',"b'.@TGowdySC on Jeff Sessions resigning: ""It was going to happen...He\'s been a proverbial dead man walking for severa\xe2\x80\xa6 https://t.co/ojKL4KMFTz'"
42,b'FoxNews',b'Thu Nov 08 07:31:00 +0000 2018',b'Mob chants threats outside @TuckerCarlson\xe2\x80\x99s DC home https://t.co/IJE8m5gjWi'
43,b'FoxNews',b'Thu Nov 08 07:21:00 +0000 2018',"b'.@TuckerCarlson: ""Supporting marriage and children is the best, maybe the only way, for Republicans or any of us to\xe2\x80\xa6 https://t.co/fqPwC8XTaY'"
44,b'FoxNews',b'Thu Nov 08 07:16:00 +0000 2018',b'.@KennedyNation: Dems in 2020 better without Nancy https://t.co/54vTCiffG4'
45,b'FoxNews',b'Thu Nov 08 07:11:00 +0000 2018',b'Battleground-state Dems who opposed Kavanaugh all defeated https://t.co/guqMSVjd74'
46,b'FoxNews',b'Thu Nov 08 07:01:00 +0000 2018',"b'.@Jim_Jordan on his run for House GOP leader: \xe2\x80\x9cWe have to match [@POTUS\xe2\x80\x99s] intensity, that\xe2\x80\x99s what I want to do. If\xe2\x80\xa6 https://t.co/2VOW1ykCsI'"
47,b'FoxNews',b'Thu Nov 08 06:51:00 +0000 2018',"b"".@senatemajldr: Dem Votes Against Kavanaugh Were a 'Godsend' to GOP in Midterms https://t.co/ietr8sP4EQ"""
48,b'FoxNews',b'Thu Nov 08 06:41:00 +0000 2018',b'.@marcthiessen: \xe2\x80\x9cThere\xe2\x80\x99s lots of things that Democrats could take a stand on that they find inherently unacceptable\xe2\x80\xa6 https://t.co/c7UFDzFd60'
49,b'FoxNews',b'Thu Nov 08 06:36:00 +0000 2018',"b'.@DarrellIssa on the Mueller probe: ""Two years is a long time to look for a crime you can\'t prove.""\xe2\x80\xa6 https://t.co/plX9kxpSXy'"
50,b'FoxNews',b'Thu Nov 08 06:31:00 +0000 2018',"b""Second teen dies of gunshot wound after Oklahoma mom's rampage, authorities say https://t.co/VUQxsa3mq3"""
51,b'FoxNews',b'Thu Nov 08 06:21:00 +0000 2018',b'.@marcthiessen: \xe2\x80\x9cThe president today made very clear that he wants to cut deals with the Democrats. And quite frank\xe2\x80\xa6 https://t.co/MGVdJQVfUt'
52,b'FoxNews',b'Thu Nov 08 06:11:00 +0000 2018',"b'Florida Highway Patrol cruiser hits 142 mph in pursuit, catches on fire https://t.co/GqWKI45AAm'"
53,b'FoxNews',b'Thu Nov 08 06:01:00 +0000 2018',b'Democratic strategist @LeslieMarshall: \xe2\x80\x9cWhat we need is not a wall \xe2\x80\x94 and not a wall that we can\xe2\x80\x99t afford \xe2\x80\x94 but comp\xe2\x80\xa6 https://t.co/TzRWVJQeVv'
54,b'FoxNews',b'Thu Nov 08 05:51:00 +0000 2018',"b'Sex offender gets 22 years after missing boy, 14, found in his room at halfway house, authorities say https://t.co/sDd0VQzob4'"
55,b'FoxNews',b'Thu Nov 08 05:41:00 +0000 2018',"b'.@POTUS touts Senate gains, @LelandVittert breaks down the results @foxnewsnight https://t.co/VMzif8sgHH'"
56,b'FoxNews',b'Thu Nov 08 05:31:00 +0000 2018',b'Former Kavanaugh colleague among group being considered to replace Sessions as AG: reports https://t.co/HxAlDZx2Mg'
57,b'FoxNews',b'Thu Nov 08 05:26:00 +0000 2018',"b'Too close to call: Meticulous vote count transpiring in Arizona Senate race, @aacuna1 reports @foxnewsnight https://t.co/DV6EX4Ogxe'"
58,b'FoxNews',b'Thu Nov 08 05:21:01 +0000 2018',"b""Former SEAL Mocked by 'SNL' Wins TX House Seat, Calls for More Vets in Congress https://t.co/T0PAhopphH\xe2\x80\xa6 https://t.co/qhS5BVOE2U"""
59,b'FoxNews',b'Thu Nov 08 05:11:00 +0000 2018',"b""South Carolina voter told to remove 'Trump' shirt in order to vote: report https://t.co/xWY2EdSpDF"""
60,b'FoxNews',b'Thu Nov 08 05:01:00 +0000 2018',b'.@POTUS: \xe2\x80\x9cHopefully we can all work together next year to continue delivering for the American people.\xe2\x80\x9d\xe2\x80\xa6 https://t.co/FdLczQZN4g'
61,b'FoxNews',b'Thu Nov 08 04:55:00 +0000 2018',b'Former US Attorney Harry Litman on Whitaker &amp; Mueller probe: \xe2\x80\x9cI think most people think it\xe2\x80\x99s unlikely that he would\xe2\x80\xa6 https://t.co/6W1eHbZ7zZ'
62,b'FoxNews',b'Thu Nov 08 04:50:00 +0000 2018',"b""Pete Davidson's 'SNL' castmate Kenan Thompson talks Dan Crenshaw joke: 'They are figuring out a way to right that w\xe2\x80\xa6 https://t.co/MlIJF907FK"""
63,b'FoxNews',b'Thu Nov 08 04:45:00 +0000 2018',"b'.@jasoninthehouse: \xe2\x80\x9cAttorney General @jeffsessions is a patriot. He was a good Republican, and I applaud him for hi\xe2\x80\xa6 https://t.co/lqmOqmHcJZ'"
64,b'FoxNews',b'Thu Nov 08 04:35:00 +0000 2018',"b'Tom Dupree on Acting Attorney General Matthew Whitaker: \xe2\x80\x9cCalls for him to recuse from Russia, I think, are meritles\xe2\x80\xa6 https://t.co/74TWeQngjg'"
65,b'FoxNews',b'Thu Nov 08 04:25:00 +0000 2018',"b'Cabinet shakeup expected after @jeffsessions pushed out, @edhenry reports @foxnewsnight https://t.co/6UTwyCpZRV https://t.co/MY7kH6s4T7'"
66,b'FoxNews',b'Thu Nov 08 04:14:15 +0000 2018',"b'New reactions to Sessions resignation, Catherine Herridge has the story @foxnewsnight https://t.co/6UTwyCHBgv https://t.co/FaiATyMSgC'"
67,b'FoxNews',b'Thu Nov 08 04:05:00 +0000 2018',b'MLB star @Bharper3407 rejects $300M offer from Nationals: Reports (via @FoxBusiness) https://t.co/Bgfoyi7fNH'
68,b'FoxNews',b'Thu Nov 08 03:55:00 +0000 2018',b'Doug Schoen: Trump shouldn\xe2\x80\x99t have fired Jeff Sessions \xe2\x80\x93 here\xe2\x80\x99s why https://t.co/0ITTpZyqyx'
69,b'FoxNews',b'Thu Nov 08 03:52:26 +0000 2018',"b'Joseph diGenova on who could replace AG Sessions: ""@ChrisChristie would have the full confidence of @POTUS, which i\xe2\x80\xa6 https://t.co/3eoxyIurd3'"
70,b'FoxNews',b'Thu Nov 08 03:48:00 +0000 2018',b'\xe2\x80\x98Brady Bunch\xe2\x80\x99 cast to take part in TV home\xe2\x80\x99s renovation: report https://t.co/rebtV4qkql'
71,b'FoxNews',b'Thu Nov 08 03:42:00 +0000 2018',"b"".@TuckerCarlson: Dems' Election Message Was All 'Trump', No Substance https://t.co/CscvHQkfAX"""
72,b'FoxNews',b'Thu Nov 08 03:35:00 +0000 2018',"b'11-year-old in North Carolina charged with putting needles in Halloween candy, police say https://t.co/Dm3F07wpIt'"
73,b'FoxNews',b'Thu Nov 08 03:29:00 +0000 2018',b'Rhino rescue? Scientists may hold key to saving northern white rhinoceros from extinction  https://t.co/VUifTtCbTk'
74,b'FoxNews',b'Thu Nov 08 03:23:02 +0000 2018',"b'RT @FoxBusiness: Rick Scott: ""Socialism will not happen in our nation, and it\'s not going to happen under my watch."" https://t.co/CLNOuNnGNo'"
75,b'FoxNews',b'Thu Nov 08 03:23:00 +0000 2018',"b""Democrat Colin Allred, who unseated Rep. Pete Sessions, won't say if he'll back Pelosi https://t.co/mNox8bKgiA"""
76,b'FoxNews',b'Thu Nov 08 03:16:01 +0000 2018',b'Surveillance video shows Michigan woman reportedly reversing car into store https://t.co/tJr2cUsZ8a'
77,b'FoxNews',b'Thu Nov 08 03:11:00 +0000 2018',"b'.@senatemajldr Mitch McConnell said Wednesday that Democrats and Republicans will have to address health care ""on a\xe2\x80\xa6 https://t.co/xF54bEhvOA'"
78,b'FoxNews',b'Thu Nov 08 03:04:00 +0000 2018',"b""Woman finds her diamond before proposal and 'ring shames' herself https://t.co/uoLHUxHeBD"""
79,b'FoxNews',b'Thu Nov 08 03:01:47 +0000 2018',"b""McDonald's customers\xe2\x80\x99 $5M lawsuit over unwanted Quarter Pounder cheese dismissed by judge https://t.co/yBEvL4cAFK"""
80,b'FoxNews',b'Thu Nov 08 02:46:10 +0000 2018',b'Trump neuters ObamaCare birth control coverage mandate with limits on plans covering abortion https://t.co/ZXX1uDaqXl'
81,b'FoxNews',b'Thu Nov 08 02:38:00 +0000 2018',b'The New York Police Department gathered about 20 saluting officers and held an aviation flyover to honor an Emergen\xe2\x80\xa6 https://t.co/AUnS1mBlzM'
82,b'FoxNews',b'Thu Nov 08 02:33:06 +0000 2018',"b'RT @FoxBusiness: .@KellyannePolls: ""Many people want to work in @POTUS\' administration."" https://t.co/to6mCzFkA7'"
83,b'FoxNews',b'Thu Nov 08 02:21:04 +0000 2018',"b'A trooper took this beautiful photo of a double rainbow over a New York State Police squad car, Tuesday. https://t.co/j9V1h3Ja5p'"
84,b'FoxNews',b'Thu Nov 08 02:16:29 +0000 2018',"b""Jeff Sessions' departure leads to questions about Russia probe's future https://t.co/5iWsDcmrYO"""
85,b'FoxNews',b'Thu Nov 08 02:07:37 +0000 2018',"b'.@TuckerCarlson: ""While everyone else obsessed over dossiers and FISA warrants, Sessions worried about the mission\xe2\x80\xa6 https://t.co/9Kv1DtfGKv'"
86,b'FoxNews',b'Thu Nov 08 02:04:34 +0000 2018',"b""South Carolina voter told to remove 'Trump' shirt in order to vote: report https://t.co/HXoKJGWYxV"""
87,b'FoxNews',b'Thu Nov 08 02:00:56 +0000 2018',b'Virginia drug-dealing mom gets 10-day jail sentence after providing marijuana to three children https://t.co/PiU3CthxVx'
88,b'FoxNews',b'Thu Nov 08 01:42:53 +0000 2018',"b'.@TuckerCarlson: ""Supporting marriage and children is the best, maybe the only way, for Republicans or any of us to\xe2\x80\xa6 https://t.co/WrELn434wB'"
89,b'FoxNews',b'Thu Nov 08 01:39:30 +0000 2018',b'Fox News Channel tops all broadcast and cable news networks in total viewers for midterm election coverage.\xe2\x80\xa6 https://t.co/H418QSswpI'
90,b'FoxNews',b'Thu Nov 08 01:37:28 +0000 2018',"b""Sacha Baron Cohen revives 'Borat' character to talk politics, midterm election https://t.co/taa4Z5RCj1"""
91,b'FoxNews',b'Thu Nov 08 01:25:49 +0000 2018',"b'Violinist claims Southwest Airlines forced him to leave flight after he refused to check $80,000 instrument https://t.co/S5TxSoH3uu'"
92,b'FoxNews',b'Thu Nov 08 01:13:00 +0000 2018',"b""'Take Their Word For It': Jim Jordan Warns of Congressional Investigations By Nadler, Waters, Schiff https://t.co/ZXsUPobdbG"""
93,b'FoxNews',b'Thu Nov 08 01:05:46 +0000 2018',"b'Former Governor John Sununu: ""What really made a big difference in the House races around the country last night is\xe2\x80\xa6 https://t.co/HYFtiI57mO'"
94,b'FoxNews',b'Thu Nov 08 01:01:04 +0000 2018',"b'Georgia posts private information of 300,000 absentee voters (via @keiperjourno) https://t.co/5H4ETZthYC'"
95,b'FoxNews',b'Thu Nov 08 00:58:26 +0000 2018',"b""CNN's Jim Acosta press pass suspended by White House, Sarah Sanders announces https://t.co/5iiXWRUrCI"""
96,b'FoxNews',b'Thu Nov 08 00:53:56 +0000 2018',"b""BREAKING: CNN's Jim Acosta press pass suspended by White House, Sarah Sanders announces https://t.co/eBITlnvfUj"""
97,b'FoxNews',b'Thu Nov 08 00:50:10 +0000 2018',"b'.@GovChrisSununu: ""I don\'t think last night was a referendum on the president. I think last night was really a refe\xe2\x80\xa6 https://t.co/lsznjxEPqK'"
98,b'FoxNews',b'Thu Nov 08 00:32:49 +0000 2018',"b""Dershowitz on Sessions' Departure: Not All GOP Senators Will Allow Trump to Demand 'Loyalty' From New AG https://t.co/lrq24Ih7lc"""
99,b'FoxNews',b'Thu Nov 08 00:29:01 +0000 2018',b'RT @MikeEmanuelFox: Democrats gear up for 2020 presidential race - from #SpecialReport tonight: \n\nhttps://t.co/2rYNfdShiO'
100,b'FoxNews',b'Thu Nov 08 00:20:43 +0000 2018',"b'.@Jim_Jordan on his run for House GOP leader: \xe2\x80\x9cWe have to match [@POTUS\xe2\x80\x99s] intensity, that\xe2\x80\x99s what I want to do. If\xe2\x80\xa6 https://t.co/PDtB3OQCW6'"
101,b'FoxNews',b'Thu Nov 08 00:14:42 +0000 2018',"b'.@Jim_Jordan on Jeff Sessions\' resignation: ""I think it was appropriate, the action that was taken today by [@POTUS\xe2\x80\xa6 https://t.co/oLG8pIW6Dr'"
102,b'FoxNews',b'Thu Nov 08 00:09:58 +0000 2018',b'Attorney General Jeff Sessions resigns in the wake of midterm elections. @edhenry reports. #TheStory\xe2\x80\xa6 https://t.co/2FTTAq0LDF'
103,b'FoxNews',b'Thu Nov 08 00:00:17 +0000 2018',"b'.@MaraLiasson on #MIDTERMS2018: ""Overall I think that Democrats had a great night. They had to win the House back a\xe2\x80\xa6 https://t.co/GbOt3JC7tJ'"
104,b'FoxNews',b'Wed Nov 07 23:54:03 +0000 2018',"b'.@marcthiessen on Sessions resigning at @POTUS\' request: ""The president is learning from his mistakes. If he had do\xe2\x80\xa6 https://t.co/GLQoSVWA71'"
105,b'FoxNews',b'Wed Nov 07 23:45:40 +0000 2018',b'Staff Sgt. Kyle Snodgrass meets his son Griffin for the first time at MacDill Air Force Base in Florida on Tuesday.\xe2\x80\xa6 https://t.co/xsJf7Hg05h'
106,b'FoxNews',b'Wed Nov 07 23:36:32 +0000 2018',b'California man charged with attempted kidnapping after hopping on bus full of schoolchildren https://t.co/ig6HOzFt3s'
107,b'FoxNews',b'Wed Nov 07 23:21:00 +0000 2018',"b""Jeff Sessions' departure leads to questions about Russia probe's future https://t.co/qDuCuO5fLX"""
108,b'FoxNews',b'Wed Nov 07 23:15:48 +0000 2018',"b'.@TGowdySC on the Muller probe: ""I don\'t think anything is going to happen to Rod [Rosenstein] until after Mueller\xe2\x80\xa6 https://t.co/lknZ4bgSjE'"
109,b'FoxNews',b'Wed Nov 07 23:11:33 +0000 2018',"b'.@TGowdySC on Jeff Sessions resigning: ""It was going to happen...He\'s been a proverbial dead man walking for severa\xe2\x80\xa6 https://t.co/99nfr9bJ8i'"
110,b'FoxNews',b'Wed Nov 07 23:01:25 +0000 2018',"b'Suspect in Trump Walk of Fame vandalism pleaded no contest, officials say https://t.co/UtqbFj28ev'"
111,b'FoxNews',b'Wed Nov 07 22:55:12 +0000 2018',"b""'The Justice Department Needs Stability': Starr Says He's 'Concerned' Following Sessions Resignation https://t.co/Ks0YmUjs0L"""
112,b'FoxNews',b'Wed Nov 07 22:42:15 +0000 2018',"b'During a post-Election Day press conference on Wednesday, House Minority Leader @NancyPelosi said House Democrats w\xe2\x80\xa6 https://t.co/FW7ObtOGmr'"
113,b'FoxNews',b'Wed Nov 07 22:34:40 +0000 2018',"b""Former Attorney General Jeff Sessions departs the Justice Department hours after he resigned at President Trump's r\xe2\x80\xa6 https://t.co/6RXHsKWL84"""
114,b'FoxNews',b'Wed Nov 07 22:24:46 +0000 2018',"b""Maxine Waters on continuing Trump finance probe: 'We will deal with that' https://t.co/F0d27WZM2k"""
115,b'FoxNews',b'Wed Nov 07 22:19:07 +0000 2018',"b'American flag mural at pizza shop vandalized, protested in small town https://t.co/cAcnfLtGuf'"
116,b'FoxNews',b'Wed Nov 07 22:11:58 +0000 2018',"b""RT @FoxBusiness: Florida sports gambling measure passes despite NFL's Dolphins plea to voters https://t.co/gVroP7eFOj"""
117,b'FoxNews',b'Wed Nov 07 22:04:53 +0000 2018',b'Democratic presidential hopefuls already jockeying for 2020 https://t.co/Naw7ySEuNB'
118,b'FoxNews',b'Wed Nov 07 21:59:57 +0000 2018',"b'Mark Penn: Trump needs to be a UNIFIER now to succeed, move on to successful re-election https://t.co/tqjL4qFOB8'"
119,b'FoxNews',b'Wed Nov 07 21:54:26 +0000 2018',"b'.@DarrellIssa on the Mueller probe: ""Two years is a long time to look for a crime you can\'t prove."" @TeamCavuto\xe2\x80\xa6 https://t.co/B9SeAwibY0'"
120,b'FoxNews',b'Wed Nov 07 21:45:47 +0000 2018',b'Funerals scheduled for 3 Wisconsin Girl Scouts and mother killed in hit-and-run https://t.co/D1kHaAPTu8'
121,b'FoxNews',b'Wed Nov 07 21:11:48 +0000 2018',"b""McConnell: Dem Votes Against Kavanaugh Were a 'Godsend' to GOP in Midterms https://t.co/HeI7clSOgM"""
122,b'FoxNews',b'Wed Nov 07 21:05:19 +0000 2018',b'.@ShepNewsTeam is live with the \xe2\x80\x98Fox News Update\xe2\x80\x99 on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/lGYpg0sZAZ'
123,b'FoxNews',b'Wed Nov 07 21:03:31 +0000 2018',b'RT @FoxNewsResearch: Trump\xe2\x80\x99s Biggest Beefs w/ Jeff Sessions:\n\xe2\x80\xa2Russia probe recusal \n\xe2\x80\xa2Not investigating Ds \n\xe2\x80\xa2Not probing \xe2\x80\x9cClinton ties to Ru\xe2\x80\xa6'
124,b'FoxNews',b'Wed Nov 07 21:03:28 +0000 2018',"b""RT @FoxNewsResearch: Trump's Recent Attacks on Sessions:\n8/11: Scared stiff, MIA\n8/23: Never took control of DOJ\n8/25: Doesn\xe2\x80\x99t understand w\xe2\x80\xa6"""
125,b'FoxNews',b'Wed Nov 07 21:02:17 +0000 2018',"b'President @realDonaldTrump tweeted earlier today that Matthew Whitaker, who was serving as chief of staff to the at\xe2\x80\xa6 https://t.co/7RAnms7Myy'"
126,b'FoxNews',b'Wed Nov 07 21:01:16 +0000 2018',"b'""We will protect the rule of law.""\n\n@RepAdamSchiff tweets a statement after Jeff Sessions resigns as attorney gener\xe2\x80\xa6 https://t.co/aJc6owFLZq'"
127,b'FoxNews',b'Wed Nov 07 20:57:34 +0000 2018',b'Deputy AG Rosenstein heading to @WhiteHouse for previously scheduled 4 p.m. meeting https://t.co/SfA26v0ock https://t.co/tRYj2L876E'
128,b'FoxNews',b'Wed Nov 07 20:54:16 +0000 2018',"b""Senator @MarkWarner on Jeff Sessions' resignation as attorney general https://t.co/SfA26v0ock https://t.co/RHSfPaOjRx"""
129,b'FoxNews',b'Wed Nov 07 20:48:51 +0000 2018',b'Catherine Herridge reports on acting attorney general Matthew Whitaker @ShepNewsTeam https://t.co/SfA26v0ock https://t.co/H9kTj0p2hs'
130,b'FoxNews',b'Wed Nov 07 20:41:25 +0000 2018',b'.@SenSchumer calls on acting AG Whitaker to recuse himself from Mueller investigation https://t.co/SfA26v0ock https://t.co/TVhVNHxzet'
131,b'FoxNews',b'Wed Nov 07 20:35:29 +0000 2018',b'Scott Walker concedes to Democrat Tony Evers in Wisconsin gubernatorial race https://t.co/cNYiUbMQ9q'
132,b'FoxNews',b'Wed Nov 07 20:32:21 +0000 2018',b'JUST IN: Acting AG Whitaker sworn in https://t.co/SfA26v0ock https://t.co/lRztd6D6N2'
133,b'FoxNews',b'Wed Nov 07 20:28:03 +0000 2018',"b"".@senatemajldr releases a statement following AG Jeff Sessions' resignation https://t.co/SfA26v0ock https://t.co/e8BPukvmHN"""
134,b'FoxNews',b'Wed Nov 07 20:23:54 +0000 2018',"b""A timeline of events leading up to Jeff Sessions' resignation as attorney general @ShepNewsTeam\xe2\x80\xa6 https://t.co/Ct61blQaFm"""
135,b'FoxNews',b'Wed Nov 07 20:16:57 +0000 2018',"b'""We do know that the @POTUS, this morning, asked for the resignation of Jeff Sessions.""\n\n@johnrobertsFox reports li\xe2\x80\xa6 https://t.co/vNdGMbY6zB'"
